iter	Passed	Remaining
0	70	35397
1	83	20779
2	100	16601
3	112	13954
4	125	12396
5	135	11186
6	149	10527
7	160	9866
8	172	9406
9	183	8988
10	195	8706
11	207	8422
12	219	8209
13	230	7997
14	241	7805
15	251	7620
16	262	7446
17	272	7306
18	283	7174
19	307	7378
20	333	7597
21	347	7540
22	357	7423
23	367	7283
24	379	7208
25	391	7133
26	402	7055
27	413	6977
28	425	6911
29	437	6851
30	449	6793
31	459	6725
32	471	6667
33	480	6590
34	491	6529
35	501	6466
36	511	6405
37	522	6357
38	534	6319
39	545	6271
40	555	6219
41	566	6177
42	577	6133
43	589	6110
44	601	6080
45	610	6029
46	621	5988
47	633	5962
48	645	5937
49	655	5903
50	668	5884
51	679	5852
52	690	5826
53	703	5806
54	712	5765
55	723	5737
56	733	5701
57	744	5671
58	754	5637
59	765	5611
60	775	5580
61	786	5559
62	798	5537
63	808	5505
64	818	5476
65	829	5455
66	840	5431
67	851	5409
68	863	5390
69	872	5356
70	883	5339
71	894	5319
72	906	5301
73	916	5274
74	929	5269
75	940	5246
76	951	5226
77	962	5206
78	972	5182
79	982	5156
80	992	5135
81	1005	5126
82	1016	5107
83	1026	5085
84	1037	5066
85	1048	5046
86	1058	5024
87	1068	5003
88	1078	4981
89	1091	4971
90	1102	4957
91	1113	4940
92	1126	4931
93	1138	4918
94	1148	4895
95	1160	4882
96	1172	4872
97	1185	4862
98	1197	4851
99	1209	4837
100	1221	4823
101	1233	4812
102	1244	4797
103	1255	4780
104	1268	4771
105	1280	4761
106	1294	4755
107	1309	4754
108	1324	4752
109	1338	4746
110	1353	4744
111	1368	4739
112	1382	4735
113	1395	4725
114	1407	4713
115	1419	4697
116	1431	4686
117	1444	4675
118	1458	4669
119	1471	4658
120	1482	4643
121	1494	4631
122	1505	4615
123	1515	4596
124	1527	4581
125	1537	4562
126	1547	4546
127	1558	4530
128	1569	4514
129	1581	4500
130	1592	4485
131	1605	4476
132	1621	4473
133	1635	4466
134	1651	4465
135	1664	4456
136	1682	4458
137	1703	4469
138	1720	4467
139	1735	4463
140	1750	4455
141	1770	4463
142	1787	4461
143	1802	4456
144	1820	4456
145	1970	4777
146	2010	4827
147	2036	4842
148	2078	4895
149	2113	4931
150	2134	4934
151	2276	5211
152	2288	5190
153	2313	5198
154	2371	5278
155	2388	5266
156	2418	5283
157	2472	5351
158	2485	5330
159	2529	5374
160	2568	5407
161	2585	5394
162	2653	5487
163	2675	5481
164	2696	5473
165	2767	5567
166	2793	5569
167	2809	5551
168	2826	5536
169	2845	5524
170	2862	5507
171	2878	5488
172	2894	5471
173	2909	5450
174	2925	5432
175	2941	5414
176	2959	5401
177	2978	5388
178	2998	5376
179	3018	5366
180	3033	5346
181	3054	5336
182	3072	5321
183	3093	5311
184	3108	5292
185	3123	5273
186	3139	5255
187	3152	5232
188	3167	5211
189	3179	5187
190	3193	5166
191	3205	5141
192	3218	5120
193	3230	5096
194	3242	5072
195	3255	5050
196	3267	5025
197	3279	5002
198	3291	4978
199	3303	4954
200	3315	4932
201	3329	4911
202	3340	4887
203	3354	4867
204	3367	4846
205	3379	4823
206	3393	4803
207	3406	4782
208	3418	4759
209	3431	4739
210	3445	4719
211	3457	4697
212	3470	4676
213	3484	4656
214	3497	4635
215	3508	4613
216	3522	4594
217	3538	4576
218	3551	4556
219	3565	4537
220	3579	4519
221	3593	4499
222	3605	4478
223	3618	4459
224	3631	4438
225	3647	4421
226	3659	4401
227	3671	4380
228	3685	4361
229	3697	4340
230	3710	4321
231	3724	4302
232	3737	4283
233	3751	4264
234	3765	4246
235	3777	4225
236	3789	4205
237	3800	4183
238	3813	4164
239	3824	4143
240	3836	4122
241	3846	4101
242	3859	4082
243	3871	4061
244	3882	4041
245	3896	4022
246	3909	4004
247	3923	3986
248	3937	3969
249	3950	3950
250	3962	3930
251	3974	3911
252	3987	3892
253	4000	3874
254	4012	3855
255	4025	3836
256	4039	3819
257	4051	3800
258	4067	3784
259	4082	3768
260	4094	3749
261	4105	3729
262	4117	3710
263	4128	3691
264	4139	3670
265	4151	3652
266	4163	3633
267	4177	3616
268	4189	3597
269	4201	3579
270	4214	3561
271	4225	3542
272	4236	3523
273	4249	3505
274	4262	3487
275	4273	3468
276	4288	3452
277	4302	3435
278	4315	3418
279	4329	3401
280	4343	3384
281	4356	3367
282	4367	3349
283	4382	3332
284	4395	3316
285	4407	3298
286	4420	3280
287	4434	3264
288	4445	3245
289	4457	3228
290	4471	3211
291	4483	3193
292	4495	3176
293	4507	3158
294	4522	3142
295	4535	3126
296	4549	3109
297	4562	3092
298	4577	3076
299	4591	3061
300	4609	3047
301	4630	3036
302	4644	3019
303	4659	3003
304	4672	2987
305	4685	2970
306	4698	2953
307	4711	2936
308	4724	2920
309	4739	2905
310	4753	2888
311	4767	2872
312	4781	2856
313	4795	2840
314	4809	2824
315	4823	2808
316	4837	2792
317	4851	2776
318	4865	2760
319	4879	2744
320	4893	2728
321	4906	2712
322	4920	2696
323	4933	2679
324	4947	2663
325	4960	2647
326	4974	2631
327	4988	2616
328	5003	2600
329	5016	2584
330	5030	2568
331	5045	2553
332	5059	2537
333	5070	2520
334	5083	2503
335	5096	2487
336	5108	2470
337	5131	2459
338	5143	2442
339	5154	2425
340	5166	2408
341	5179	2392
342	5189	2375
343	5200	2358
344	5214	2342
345	5228	2327
346	5240	2310
347	5253	2294
348	5265	2278
349	5277	2261
350	5290	2245
351	5302	2229
352	5313	2212
353	5325	2196
354	5337	2180
355	5350	2164
356	5362	2148
357	5375	2132
358	5387	2116
359	5398	2099
360	5410	2083
361	5425	2068
362	5437	2052
363	5450	2036
364	5462	2020
365	5475	2004
366	5487	1988
367	5499	1972
368	5510	1956
369	5522	1940
370	5535	1924
371	5548	1909
372	5561	1893
373	5573	1877
374	5588	1862
375	5600	1847
376	5613	1831
377	5625	1815
378	5638	1800
379	5651	1784
380	5662	1768
381	5674	1752
382	5686	1737
383	5699	1721
384	5712	1706
385	5725	1691
386	5741	1676
387	5755	1661
388	5767	1645
389	5778	1629
390	5790	1614
391	5803	1598
392	5812	1582
393	5824	1567
394	5838	1552
395	5851	1536
396	5861	1520
397	5872	1505
398	5883	1489
399	5896	1474
400	5909	1458
401	5921	1443
402	5934	1428
403	5947	1413
404	5958	1397
405	5970	1382
406	5983	1367
407	5995	1351
408	6007	1336
409	6019	1321
410	6030	1305
411	6042	1290
412	6053	1275
413	6065	1260
414	6076	1244
415	6089	1229
416	6100	1214
417	6113	1199
418	6126	1184
419	6139	1169
420	6152	1154
421	6163	1139
422	6175	1124
423	6188	1109
424	6201	1094
425	6212	1079
426	6225	1064
427	6236	1049
428	6249	1034
429	6260	1019
430	6271	1003
431	6282	988
432	6294	973
433	6305	958
434	6318	944
435	6330	929
436	6342	914
437	6353	899
438	6366	884
439	6378	869
440	6391	855
441	6405	840
442	6417	825
